movie_id,title,overview,vote_average,poster_path,genres,director,actors,vader_sentiment
1325734,The Drama,A happily engaged couple is put to the test when an unexpected turn sends their wedding week off the rails.,6.938,/qhGCY6DIemLoCi7x1GuEt98m4JF.jpg,Romance|Comedy|Drama,Kristoffer Borgli,Zendaya|Robert Pattinson|Mamoudou Athie|Alana Haim|Jordyn Curet,0.743
950028,The Invite,"Joe and Angela's marriage is on thin ice. When they invite their enigmatic upstairs neighbors for a dinner party, the night spirals into unexpected places. Have they reignited the spark or lit the match that burns it all down?",7.857,/b7Dr8Chzse8VagexAporUu2RtLx.jpg,Drama|Comedy,Olivia Wilde,Seth Rogen|Olivia Wilde|Penélope Cruz|Edward Norton,0.6369
931285,Mortal Kombat II,"The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders.",7.992,/hwRdDFIhaEmpRgoki805YvyyjZf.jpg,Action|Fantasy|Adventure,Simon McQuoid,Karl Urban|Adeline Rudolph|Ludi Lin|Jessica McNamee|Lewis Tan,-0.3818
1020047,In the Hand of Dante,"A Vatican priest discovers Dante's original Divine Comedy manuscript. When asked to authenticate it, writer Nick Tosches steals it, while a parallel story follows Dante's quest to create his masterpiece.",5.528,/nPPIufTBnzEg0d7NoR5RLL1oPra.jpg,Drama|Crime,Julian Schnabel,Oscar Isaac|Gal Gadot|Gerard Butler|John Malkovich|Louis Cancelmi,0.8834
83533,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",7.617,/bRBeSHfGHwkEpImlhxPmOcUsaeg.jpg,Science Fiction|Adventure|Fantasy,James Cameron,Sam Worthington|Zoe Saldaña|Sigourney Weaver|Stephen Lang|Oona Chaplin,-0.9686
1327819,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",8.189,/xjtWQ2CL1mpmMNwuU5HeS4Iuwuu.jpg,Adventure|Animation|Comedy|Family|Science Fiction,Daniel Chong,Piper Curda|Bobby Moynihan|Jon Hamm|Kathy Najimy|Dave Franco,0.765
1318413,Pressure,"In the tense 72 hours before D-Day, and the fate of the free world hanging in the balance, General Dwight D. Eisenhower and Captain James Stagg face an impossible choice—launch the largest and most dangerous seaborne invasion in history or risk losing the war altogether.",7.561,/gFjEggtrejCN79r6SXRjM269OtG.jpg,Thriller|History|War,Anthony Maras,Andrew Scott|Brendan Fraser|Kerry Condon|Chris Messina|Damian Lewis,-0.8777
1228710,The Mandalorian and Grogu,"The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu.",6.681,/5Vi8dSauVwH1HOsiZceDMbRr1Ca.jpg,Action|Adventure|Science Fiction,Jon Favreau,Pedro Pascal|Jeremy Allen White|Sigourney Weaver|Brendan Wayne|Lateef Crowder,-0.6597
880067,Strung,"A talented violinist's prestigious new role as a music tutor for an enigmatic, elite family spirals into a psychological battle for her safety and sanity.",7.689,/lWdpUOhnJ8uWWO1G1vbyUsCliov.jpg,Mystery|Thriller,Malcolm D. Lee,Chlöe Bailey|Lynn Whitfield|Lucien Laviscount|Anna Diop|Romy Woods,0.5423
1171145,Crime 101,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",7.004,/tVvpFIoteRHNnoZMhdnwIVwJpCA.jpg,Crime|Thriller,Bart Layton,Chris Hemsworth|Mark Ruffalo|Halle Berry|Barry Keoghan|Monica Barbaro,-0.4215
1430077,Hokum,"When novelist Ohm Bauman retreats to a remote inn to scatter his parents' ashes, he is consumed by tales of a witch haunting the honeymoon suite. Disturbing visions and a shocking disappearance forces him to confront dark corners of his past.",6.886,/jKPWwsbAM6HKURPYQ1eG8DmKMKn.jpg,Horror,Damian McCarthy,Adam Scott|Peter Coonan|David Wilmot|Florence Ordesh|Will O'Connell,-0.8555
